Material,Nature,Stacking,UTS,Stress_amplitude,Stress_ratio,Frequency,Number_of_plies,Fatigue_cycles,Normalized_fatigue_life,Target
1,1,0,330,181.5,0.5,3,4,19748,1,0
1,1,0,330,214.5,0.5,3,4,8509,1,0
1,1,0,330,247.5,0.5,3,4,4252,1,0
0,0,1,560,392,0.5,10,8,161058,1,0
0,0,1,560,448,0.5,10,8,94556,1,0
0,0,1,560,504,0.5,10,8,34799,1,0
0,0,3,477.11,427,-0.161,10,16,810,1,0
0,0,3,477.11,427,-0.161,10,16,1127,1,0
0,0,3,477.11,427,-0.161,10,16,10,1,0
0,0,3,477.11,400,-0.172,10,16,4840,1,0
0,0,3,477.11,400,-0.172,10,16,4980,1,0
0,0,3,477.11,400,-0.172,10,16,1675,1,0
0,0,3,477.11,372.31,-0.185,10,16,10500,1,0
0,0,3,477.11,372.31,-0.185,10,16,11055,1,0
0,0,3,477.11,372.31,-0.185,10,16,6997,1,0
0,0,3,477.11,344.74,-0.2,10,16,10651,1,0
0,0,3,477.11,344.74,-0.2,10,16,16030,1,0
0,0,3,477.11,344.74,-0.2,10,16,10000,1,0
0,0,3,477.11,317.16,-0.217,10,16,25520,1,0
0,0,3,477.11,317.16,-0.217,10,16,36500,1,0
0,0,3,477.11,317.16,-0.217,10,16,78710,1,0
0,0,3,477.11,289.58,-0.238,10,16,130720,1,0
0,0,3,477.11,289.58,-0.238,10,16,78290,1,0
0,0,3,477.11,289.58,-0.238,10,16,188887,1,0
0,0,3,477.11,262,-0.263,10,16,111600,1,0
0,0,3,477.11,262,-0.263,10,16,414560,1,0
0,0,3,477.11,262,-0.263,10,16,485190,1,0
0,0,3,477.11,234.42,-0.294,10,16,1047000,1,0
0,0,3,477.11,234.42,-0.294,10,16,1322440,1,0
0,0,3,477.11,234.42,-0.294,10,16,2104510,1,0
0,0,3,477.11,400,-0.275,10,16,1402,1,0
0,0,3,477.11,400,-0.275,10,16,3510,1,0
0,0,3,477.11,400,-0.275,10,16,1010,1,0
0,0,3,477.11,344.74,-0.32,10,16,10906,1,0
0,0,3,477.11,344.74,-0.32,10,16,11445,1,0
0,0,3,477.11,344.74,-0.32,10,16,3981,1,0
0,0,3,477.11,262,-0.42,10,16,213539,1,0
0,0,3,477.11,262,-0.42,10,16,55380,1,0
0,0,3,477.11,262,-0.42,10,16,43485,1,0
0,0,3,477.11,234.42,-0.47,10,16,123672,1,0
0,0,3,477.11,234.42,-0.47,10,16,749444,1,0
0,0,3,477.11,234.42,-0.47,10,16,638880,1,0
0,0,1,89.54,56.2,0.1,10,20,8000000,1,85.37
0,0,1,89.54,54.8,0.1,10,20,10000000,1,92.06
0,0,1,89.54,56.2,0.1,10,20,6000000,1,92.75
0,0,1,89.54,56.2,0.1,10,20,10000000,1,95.55
0,0,1,89.54,55.9,0.1,10,20,10000000,1,98.2
1,1,0,330,181.5,0.5,3,4,16000,0.8,193
1,1,0,330,214.5,0.5,3,4,8000,0.94,219
1,1,0,330,181.5,0.5,3,4,8000,0.4,231
1,1,0,330,247.5,0.5,3,4,4000,0.94,252
1,1,0,330,214.5,0.5,3,4,4000,0.47,253
1,1,0,330,181.5,0.5,3,4,4000,0.2,259
1,1,0,330,247.5,0.5,3,4,2000,0.47,268
1,1,0,330,214.5,0.5,3,4,2000,0.24,276
1,1,0,330,181.5,0.5,3,4,2000,0.1,278
1,1,0,330,247.5,0.5,3,4,1000,0.24,282
0,0,1,418,258,0.1,10,8,50000,0.12,324
0,0,1,418,258,0.1,10,8,50000,0.12,329
0,0,1,418,258,0.1,10,8,50000,0.12,332
0,0,1,418,258,0.1,10,8,50000,0.12,338
0,0,1,418,258,0.1,10,8,50000,0.12,353
0,0,1,418,258,0.1,10,8,50000,0.12,354
0,0,1,418,258,0.1,10,8,50000,0.12,368
0,0,1,418,258,0.1,10,8,50000,0.12,370
0,0,1,418,258,0.1,10,8,50000,0.12,381
0,0,1,418,258,0.1,10,8,50000,0.12,384
0,0,1,560,392,0.5,10,8,150000,0.93,400
0,0,1,418,258,0.1,10,8,50000,0.12,412
0,0,1,560,392,0.5,10,8,125000,0.78,419
0,0,1,560,392,0.5,10,8,100000,0.62,442
0,0,1,560,448,0.5,10,8,90000,0.95,450
0,0,1,560,448,0.5,10,8,75000,0.8,457
0,0,1,560,392,0.5,10,8,75000,0.47,468
0,0,1,560,448,0.5,10,8,60000,0.63,473
0,0,1,560,392,0.5,10,8,50000,0.31,491
0,0,1,560,448,0.5,10,8,45000,0.48,492
0,0,1,560,504,0.5,10,8,30000,0.86,506
0,0,1,560,448,0.5,10,8,30000,0.32,509
0,0,1,560,504,0.5,10,8,25000,0.72,510
0,0,1,560,392,0.5,10,8,25000,0.15,512
0,0,1,560,504,0.5,10,8,20000,0.57,517
0,0,1,560,504,0.5,10,8,15000,0.43,525
0,0,1,560,448,0.5,10,8,15000,0.16,528
0,0,1,560,504,0.5,10,8,10000,0.29,533
0,0,1,560,504,0.5,10,8,5000,0.14,542
0,2,1,734,500,0,5,8,1000000,1,755
0,2,1,734,600,0,2,8,1000000,1,769
